Title,Link,Facility,Location,Shift Type,Competition,Department,Type of Employment,Union Status,Closing Date,Pay Grade,Salary Range
Administrative Assistant- Victim Services (Secretary 2) - Permanent , https://jobs.novascotia.ca/job/PICTOU-Administrative-Assistant%2C-Victim-Services-%28Secretary-2%29-Permanent-NS-B0K-1H0/582037917/ ,Justice Location: PICTOU, NS, CA, B0K 1H0 Shift Type: 09-Jul-24 Additional Data: {'Competition': '43319', 'Department': 'Justice', 'Location': 'PICTOU', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '09-Jul-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Manager of Employee and Public Engagement (Designated) , https://jobs.novascotia.ca/job/HALIFAX-Manager-of-Employee-and-Public-Engagement-%28Designated%29-NS-B3J-2A8/582046317/ ,Health and Wellness Location: HALIFAX, NS, CA, B3J 2A8 Shift Type: 02-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Health and Wellness', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Temporary', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa002-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 12'}
Administrative Assistant (Secretary 2) - Casual Relief , https://jobs.novascotia.ca/job/PICTOU-Administrative-Assistant-%28Secretary-2%29-Casual-Relief-NS-B0K-1H0/582042117/ ,Justice Location: PICTOU, NS, CA, B0K 1H0 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Justice', 'Location': 'Location:\xa0PICTOU', 'Type of Employment': 'Type of Employment:\xa0Casual', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa009-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 CL 18'}
Workplace Mental Health Consultant (Designated) , https://jobs.novascotia.ca/job/HALIFAX-Workplace-Mental-Health-Consultant-%28Designated%29-NS-B3J3N8/581982017/ ,Public Service Commission Location: HALIFAX, NS, CA, B3J3N8 Shift Type: 01-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Service Commission', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa001-Jul-24\xa0\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'EC 11', 'Salary Range': 'Salary Range:\xa0 $3,351.92\xa0- $4,189.95\xa0Bi-Weekly'}
Mechanic II (Truck and Transport) (Year Round) (Antigonish and Port Hawkesbury) , https://jobs.novascotia.ca/job/ANTIGONISH-Mechanic-II-%28Truck-and-Transport%29-%28Year-Round%29-%28Antigonish-and-Port-Hawkesbury%29-NS-B2G-2K5/581981017/ ,Public Works Location: ANTIGONISH, NS, CA, B2G 2K5 Shift Type: 02-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:', 'Type of Employment': 'Zone:\xa05, 6, 7, 8 and 9', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Unit Supervisor- Wood Street Campus , https://jobs.novascotia.ca/job/TRURO-Unit-Supervisor%2C-Wood-Street-Campus-NS-B2N-7H8/581997417/ ,Community Services Location: TRURO, NS, CA, B2N 7H8 Shift Type: 01-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Community Services', 'Location': 'Location:\xa0TRURO', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa001-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 10'}
Junior Policy Analyst (Research & Stat Officer 2) , https://jobs.novascotia.ca/job/HALIFAX-Junior-Policy-Analyst-%28Research-&-Stat-Officer-2%29-NS-B3J-2T7/581996817/ ,Community Services Location: HALIFAX, NS, CA, B3J 2T7 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43303', 'Department': 'Community Services', 'Location': 'HALIFAX', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'PR 10', 'Salary Range': 'Salary Range:\xa0 $2,262.74\xa0- $2,760.42\xa0Bi-Weekly'}
Marine Engineer 1 (Petite Passage) , https://jobs.novascotia.ca/job/FREEPORT-Marine-Engineer-1-%28Petite-Passage%29-NS-B0V-1E0/581981417/ ,Public Works Location: FREEPORT, NS, CA, B0V 1E0 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43333', 'Department': 'Public Works', 'Location': 'Not found', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'MOS 13', 'Salary Range': 'Salary Range:\xa0 $1,914.72\xa0- $1,966.54\xa0Bi-Weekly'}
Administrative Assistant (Secretary 1) , https://jobs.novascotia.ca/job/NEW-GLASGOW-Administrative-Assistant-%28Secretary-1%29-NS-B2H-6B6/581996317/ ,Community Services Location: NEW GLASGOW, NS, CA, B2H 6B6 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43313', 'Department': 'Community Services', 'Location': 'NEW GLASGOW', 'Type of Employment': 'Temporary', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'CL 14', 'Salary Range': 'Salary Range:\xa0 $1,529.39\xa0- $1,684.00\xa0Bi-Weekly'}
Junior Procurement Specialist (Program Admin Officer 1-2) , https://jobs.novascotia.ca/job/HALIFAX-Junior-Procurement-Specialist-%28Program-Admin-Officer-1-2%29-NS-B3J/581991917/ ,Service Nova Scotia Location: HALIFAX, NS, CA, B3J Shift Type: 01-Jul-24 Additional Data: {'Competition': '43320', 'Department': 'Service Nova Scotia', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'Not found', 'Closing Date': '01-Jul-24', 'Pay Grade': 'PR 06\xa0- PR 10', 'Salary Range': 'Salary Range:\xa0 $1,924.95\xa0- $2,760.42\xa0Bi-Weekly'}
Forestry Fire Crew Person (Maintenance Worker 2(A)) , https://jobs.novascotia.ca/job/CORNWALLIS-Forestry-Fire-Crew-Person-%28Maintenance-Worker-2%28A%29%29-NS-B0S-1H0/582005717/ ,Natural Resources & Renewables Location: CORNWALLIS, NS, CA, B0S 1H0 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43325', 'Department': 'Natural Resources & Renewables', 'Location': 'CORNWALLIS', 'Type of Employment': 'Seasonal', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'MOS 07', 'Salary Range': 'Salary Range:\xa0 $1,645.29\xa0- $1,686.75\xa0Bi-Weekly'}
Adult Protection Worker Central Region , https://jobs.novascotia.ca/job/HALIFAX-Adult-Protection-Worker-Central-Region-NS-B3L-4R6/582004417/ ,Seniors and Long-Term Care Location: HALIFAX, NS, CA, B3L 4R6 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43255', 'Department': 'Seniors and Long-Term Care', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'PR 16', 'Salary Range': 'Salary Range:\xa0 $2,867.11\xa0- $3,507.08\xa0Bi-Weekly'}
Paralegal (Legal Services Technician 3) (Term and Temporary) , https://jobs.novascotia.ca/job/HALIFAX-Paralegal-%28Legal-Services-Technician-3%29-%28Term-and-Temporary%29-NS-B4N-2E3/582001717/ ,Public Prosecution Service Location: HALIFAX, NS, CA, B4N 2E3 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43269', 'Department': 'Public Prosecution Service', 'Location': 'HALIFAX\xa0and DARTMOUTH', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'TE 21', 'Salary Range': 'Salary Range:\xa0 $2,105.04\xa0- $2,466.26\xa0Bi-Weekly'}
Program Investment Coordinator (Program Administration Officer 3) , https://jobs.novascotia.ca/job/Multiple-Locations-Program-Investment-Coordinator-%28Program-Administration-Officer-3%29-NS-B3J-2T8/582005817/ ,Labour, Skills and Immigration Location: Multiple Locations, NS, CA, B3J 2T8 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43285', 'Department': 'Labour, Skills and Immigration', 'Location': 'Multiple Locations', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'PR 13', 'Salary Range': 'Salary Range:\xa0 $2,556.10\xa0- $3,107.16\xa0Bi-Weekly'}
Receptionist (Clerk 2) , https://jobs.novascotia.ca/job/HALIFAX-Receptionist-%28Clerk-2%29-NS-B2Y-1N6/582008317/ ,Labour, Skills and Immigration Location: HALIFAX, NS, CA, B2Y 1N6 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43331', 'Department': 'Labour, Skills and Immigration', 'Location': 'HALIFAX', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'CL 13', 'Salary Range': 'Salary Range:\xa0 $1,501.11\xa0- $1,633.95\xa0Bi-Weekly'}
Land Administration Officer (Planning Technician) , https://jobs.novascotia.ca/job/HALIFAX-Land-Administration-Officer-%28Planning-Technician%29-NS-B3J-2T9/581080917/ ,Natural Resources & Renewables Location: HALIFAX, NS, CA, B3J 2T9 Shift Type: 28-Jun-24 Additional Data: {'Competition': '42972', 'Department': 'Natural Resources & Renewables', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '28-Jun-24', 'Pay Grade': 'TE 24', 'Salary Range': 'Salary Range:\xa0 $2,370.01\xa0- $2,791.38\xa0Bi-Weekly'}
Division Crewperson (Summer Works) (Lequille) (2 Positions) , https://jobs.novascotia.ca/job/LEQUILLE-Division-Crewperson-%28Summer-Works%29-%28Lequille%29-%282-Positions%29-NS-B0S-1A0/581934217/ ,Public Works Location: LEQUILLE, NS, CA, B0S 1A0 Shift Type: 28-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0LEQUILLE', 'Type of Employment': 'Zone:\xa031', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Division Crewperson (Special Works Crew) (Traffic Control Crew) (Lequille) , https://jobs.novascotia.ca/job/LEQUILLE-Division-Crewperson-%28Special-Works-Crew%29-%28Traffic-Control-Crew%29-%28Lequille%29-NS-B0S-1A0/581934617/ ,Public Works Location: LEQUILLE, NS, CA, B0S 1A0 Shift Type: 28-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0LEQUILLE', 'Type of Employment': 'Zone:\xa029, 30 and 33', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Geomatics Engineering Technologist (Survey Technician 3) , https://jobs.novascotia.ca/job/BIBLE-HILL-Geomatics-Engineering-Technologist-%28Survey-Technician-3%29-NS-B2N-2R2/581954517/ ,Natural Resources & Renewables Location: BIBLE HILL, NS, CA, B2N 2R2 Shift Type: 28-Jun-24 Additional Data: {'Competition': '43311', 'Department': 'Natural Resources & Renewables', 'Location': 'BIBLE HILL', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '28-Jun-24', 'Pay Grade': 'TE 22', 'Salary Range': 'Salary Range:\xa0 $2,189.32\xa0- $2,574.66\xa0Bi-Weekly'}
Adult protection Administrative Assistant (Clerk 3) , https://jobs.novascotia.ca/job/KENTVILLE-Adult-protection-Administrative-Assistant-%28Clerk-3%29-NS-B4N-0H2/581955017/ ,Seniors and Long-Term Care Location: KENTVILLE, NS, CA, B4N 0H2 Shift Type: 28-Jun-24 Additional Data: {'Competition': '43211', 'Department': 'Seniors and Long-Term Care', 'Location': 'KENTVILLE', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '28-Jun-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Manager- Service Delivery , https://jobs.novascotia.ca/job/HALIFAX-Manager%2C-Service-Delivery-NS-B3J-2T7/581949917/ ,Service Nova Scotia Location: HALIFAX, NS, CA, B3J 2T7 Shift Type: 28-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Service Nova Scotia', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Term', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa028-Jun-24\xa0\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'EC 11', 'Salary Range': 'Salary Range:\xa0 $3,047.22\xa0- $4,189.95\xa0Bi-Weekly'}
Project Engineer (Engineer 1-3) , https://jobs.novascotia.ca/job/BIBLE-HILL-Project-Engineer-%28Engineer-1-3%29-NS-B2N-5C1/581896117/ ,Public Works Location: BIBLE HILL, NS, CA, B2N 5C1 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43295', 'Department': 'Public Works', 'Location': 'BIBLE HILL', 'Type of Employment': 'Permanent', 'Union Status': 'Not found', 'Closing Date': '27-Jun-24', 'Pay Grade': 'PR 08\xa0- PR 15', 'Salary Range': 'Salary Range:\xa0 $2,084.99\xa0- $3,364.90\xa0Bi-Weekly'}
Marine Engineer 1 (Country Harbour) , https://jobs.novascotia.ca/job/PORT-BICKERTON-Marine-Engineer-1-%28Country-Harbour%29-NS-B0J-3C0/581895517/ ,Public Works Location: PORT BICKERTON, NS, CA, B0J 3C0 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43292', 'Department': 'Public Works', 'Location': 'Not found', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '27-Jun-24', 'Pay Grade': 'MOS 13', 'Salary Range': 'Salary Range:\xa0 $1,914.72\xa0- $1,966.54\xa0Bi-Weekly'}
Marine Engineer 1 (Englishtown) , https://jobs.novascotia.ca/job/ENGLISHTOWN-Marine-Engineer-1-%28Englishtown%29-NS-B0C-1H0/581895117/ ,Public Works Location: ENGLISHTOWN, NS, CA, B0C 1H0 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43290', 'Department': 'Public Works', 'Location': 'ENGLISHTOWN', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '27-Jun-24', 'Pay Grade': 'MOS 13', 'Salary Range': 'Salary Range:\xa0 $1,914.72\xa0- $1,966.54\xa0Bi-Weekly'}
Director- Internal Controls & Municipal Finance , https://jobs.novascotia.ca/job/HALIFAX-Director%2C-Internal-Controls-&-Municipal-Finance-NS-B3J-2N3/581915217/ ,Finance and Treasury Board Location: HALIFAX, NS, CA, B3J 2N3 Shift Type: 28-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Finance and Treasury Board', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa028-Jun-24\xa0\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'EC 14', 'Salary Range': 'Salary Range:\xa0 $4,461.45\xa0- $5,576.81\xa0Bi-Weekly'}
Deputy Sheriff 1-2 (Term) , https://jobs.novascotia.ca/job/KENTVILLE-Deputy-Sheriff-1-2-%28Term%29-NS-B4N2E5/581915817/ ,Justice Location: KENTVILLE, NS, CA, B4N2E5 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43248', 'Department': 'Justice', 'Location': 'KENTVILLE', 'Type of Employment': 'Term', 'Union Status': 'Not found', 'Closing Date': '27-Jun-24', 'Pay Grade': 'TE 19\xa0- TE 21', 'Salary Range': 'Salary Range:\xa0 $1,936.49\xa0- $2,466.26\xa0Bi-Weekly'}
Legal Services Technician 1-2 , https://jobs.novascotia.ca/job/HALIFAX-Legal-Services-Technician-1-2-NS-B4N-2E3/581915617/ ,Public Prosecution Service Location: HALIFAX, NS, CA, B4N 2E3 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43233', 'Department': 'Public Prosecution Service', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'Not found', 'Closing Date': '27-Jun-24', 'Pay Grade': 'TE 13\xa0- TE 19', 'Salary Range': 'Salary Range:\xa0 $1,566.66\xa0- $2,273.69\xa0Bi-Weekly'}
Clerk 3 - Records Administration , https://jobs.novascotia.ca/job/HALIFAX-Clerk-3-Records-Administration-NS-B4N-2E3/581897717/ ,Public Prosecution Service Location: HALIFAX, NS, CA, B4N 2E3 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43232', 'Department': 'Public Prosecution Service', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '27-Jun-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Lawyer 1-3 (Solicitor 1-3) , https://jobs.novascotia.ca/job/HALIFAX-Lawyer-1-3-%28Solicitor-1-3%29-NS-B3J-2L6/581915917/ ,Justice Location: HALIFAX, NS, CA, B3J 2L6 Shift Type: 27-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Location:\xa0HALIFAX', 'Location': 'Type of Employment:\xa0Permanent', 'Type of Employment': 'Union Status:\xa0NSGLA', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': '$3,297.75\xa0- $6,084.28\xa0Bi-Weekly', 'Salary Range': 'Not found'}
Clerk 3 (Customer Service Representative) , https://jobs.novascotia.ca/job/BRIDGEWATER-Clerk-3-%28Customer-Service-Representative%29-NS-B4V-3T3/581906117/ ,Service Nova Scotia Location: BRIDGEWATER, NS, CA, B4V 3T3 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43293', 'Department': 'Service Nova Scotia', 'Location': 'BRIDGEWATER', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '27-Jun-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Clerk 3 (CSR- Contact Centre) , https://jobs.novascotia.ca/job/HALIFAX-Clerk-3-%28CSR%2C-Contact-Centre%29-NS-B3J-1M7/581909317/ ,Service Nova Scotia Location: HALIFAX, NS, CA, B3J 1M7 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43151', 'Department': 'Service Nova Scotia', 'Location': 'HALIFAX', 'Type of Employment': 'Temporary', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '27-Jun-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Executive Assistant , https://jobs.novascotia.ca/job/HALIFAX-Executive-Assistant-NS-B3P-0A4/581916217/ ,Justice Location: HALIFAX, NS, CA, B3P 0A4 Shift Type: 27-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Justice', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa027-Jun-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 05'}
Maintenance Enforcement Officer (Program Admin Officer 3/Agent de gestion de programme 3) , https://jobs.novascotia.ca/job/NEW-WATERFORD-Maintenance-Enforcement-Officer-%28Program-Admin-Officer-3Agent-de-gestion-de-programme-3%29-NS-B1H-5V8/581902217/ ,Justice Location: NEW WATERFORD, NS, CA, B1H 5V8 Shift Type: 04-Jul-24 Additional Data: {'Competition': '43256', 'Department': 'Justice', 'Location': 'NEW WATERFORD', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '04-Jul-24', 'Pay Grade': 'PR 13', 'Salary Range': 'Salary Range:\xa0 $2,556.10\xa0- $3,107.16\xa0Bi-Weekly'}
Division Crewperson (Summer Works Period) (Temporary Assignment) (Oxford and Parrsboro) , https://jobs.novascotia.ca/job/Multiple-Locations-Division-Crewperson-%28Summer-Works-Period%29-%28Temporary-Assignment%29-%28Oxford-and-Parrsboro%29-NS-B0M-1P0/581851817/ ,Public Works Location: Multiple Locations, NS, CA, B0M 1P0 Shift Type: 26-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:', 'Type of Employment': 'Zone:\xa019 and 24', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Division Crewperson (Summer Works) (Oxford and Parrsboro) , https://jobs.novascotia.ca/job/Multiple-Locations-Division-Crewperson-%28Summer-Works%29-%28Oxford-and-Parrsboro%29-NS-B0M-1P0/581855017/ ,Public Works Location: Multiple Locations, NS, CA, B0M 1P0 Shift Type: 26-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0Oxford and Parrsboro', 'Type of Employment': 'Zone:\xa019 and 24', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Division Crewperson (Spare) (Cumberland County) , https://jobs.novascotia.ca/job/CUMBERLAND-COUNTY-Division-Crewperson-%28Spare%29-%28Cumberland-County%29-NS-B0M-1S0/581853917/ ,Public Works Location: CUMBERLAND COUNTY, NS, CA, B0M 1S0 Shift Type: 26-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0CUMBERLAND COUNTY', 'Type of Employment': 'Zone:\xa019, 20 and 24', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Project Executive- Health Workforce Partnerships (Term) , https://jobs.novascotia.ca/job/HALIFAX-Project-Executive%2C-Health-Workforce-Partnerships-%28Term%29-NS-B3J-2R8/581885617/ ,Health Professionals Recruit Location: HALIFAX, NS, CA, B3J 2R8 Shift Type: 27-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Health Professionals Recruit', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Term', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa027-Jun-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 14'}
Administrative Assistant (Secretary 3) , https://jobs.novascotia.ca/job/HALIFAX-Administrative-Assistant-%28Secretary-3%29-NS-B3J-2R8/581885917/ ,Health Professionals Recruit Location: HALIFAX, NS, CA, B3J 2R8 Shift Type: 27-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Health Professionals Recruit', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa027-Jun-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 05'}
Apprentice Carpenter (Halifax) , https://jobs.novascotia.ca/job/HALIFAX-Apprentice-Carpenter-%28Halifax%29-NS-B3K-2A6/581846017/ ,Public Works Location: HALIFAX, NS, CA, B3K 2A6 Shift Type: 26-Jun-24 Additional Data: {'Competition': '43264', 'Department': 'Public Works', 'Location': 'HALIFAX', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '26-Jun-24', 'Pay Grade': 'TRA 11', 'Salary Range': 'Salary Range:\xa0 $17.62\xa0- $27.89\xa0Hourly'}
Education Officer 3 (Provincial Mathematics Lead) , https://jobs.novascotia.ca/job/HALIFAX-Education-Officer-3-%28Provincial-Mathematics-Lead%29-NS-B3J-2S9/581850617/ ,Education & Early Childhood Development Location: HALIFAX, NS, CA, B3J 2S9 Shift Type: 26-Jun-24 Additional Data: {'Competition': '43262', 'Department': 'Education & Early Childhood Development', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '26-Jun-24', 'Pay Grade': 'PR 20', 'Salary Range': 'Salary Range:\xa0 $3,507.08\xa0- $4,129.29\xa0Bi-Weekly'}
Industry Training Consultant (Program Admin Officer 3) , https://jobs.novascotia.ca/job/SYDNEY-Industry-Training-Consultant-%28Program-Admin-Officer-3%29-NS-B1P-4V7/581869917/ ,Labour, Skills and Immigration Location: SYDNEY, NS, CA, B1P 4V7 Shift Type: 26-Jun-24 Additional Data: {'Competition': '43184', 'Department': 'Labour, Skills and Immigration', 'Location': 'SYDNEY', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '26-Jun-24', 'Pay Grade': 'PR 13', 'Salary Range': 'Salary Range:\xa0 $2,556.10\xa0- $3,107.16\xa0Bi-Weekly'}
GIS & Interpreted Forest Inventory Supervisor (Program Administration Officer 4) , https://jobs.novascotia.ca/job/TRURO-GIS-&-Interpreted-Forest-Inventory-Supervisor-%28Program-Administration-Officer-4%29-NS-B2N-0G9/581856817/ ,Natural Resources & Renewables Location: TRURO, NS, CA, B2N 0G9 Shift Type: 03-Jul-24 Additional Data: {'Competition': '43171', 'Department': 'Natural Resources & Renewables', 'Location': 'TRURO', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '03-Jul-24', 'Pay Grade': 'PR 17', 'Salary Range': 'Salary Range:\xa0 $3,107.16\xa0- $3,649.33\xa0Bi-Weekly'}
Program Specialist (Program Admin Officer 3) , https://jobs.novascotia.ca/job/HALIFAX-Program-Specialist-%28Program-Admin-Officer-3%29-NS-B3J-2S9/581857317/ ,Labour, Skills and Immigration Location: HALIFAX, NS, CA, B3J 2S9 Shift Type: 26-Jun-24 Additional Data: {'Competition': '43204', 'Department': 'Labour, Skills and Immigration', 'Location': 'HALIFAX', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '26-Jun-24', 'Pay Grade': 'PR 13', 'Salary Range': 'Salary Range:\xa0 $2,556.10\xa0- $3,107.16\xa0Bi-Weekly'}
